חולים קשים חדשים - יומי,
תאריך,מספר חולים
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,1
06-03-2020,1
07-03-2020,1
08-03-2020,2
09-03-2020,0
10-03-2020,1
11-03-2020,1
12-03-2020,0
13-03-2020,0
14-03-2020,1
15-03-2020,3
16-03-2020,2
17-03-2020,1
18-03-2020,4
19-03-2020,5
20-03-2020,3
21-03-2020,4
22-03-2020,11
23-03-2020,7
24-03-2020,7
25-03-2020,5
26-03-2020,10
27-03-2020,13
28-03-2020,5
29-03-2020,14
30-03-2020,13
31-03-2020,15
01-04-2020,21
02-04-2020,12
03-04-2020,24
04-04-2020,17
05-04-2020,6
06-04-2020,21
07-04-2020,18
08-04-2020,22
09-04-2020,19
10-04-2020,13
11-04-2020,26
12-04-2020,21
13-04-2020,34
14-04-2020,8
15-04-2020,26
16-04-2020,19
17-04-2020,13
18-04-2020,28
19-04-2020,8
20-04-2020,11
21-04-2020,8
22-04-2020,10
23-04-2020,11
24-04-2020,9
25-04-2020,7
26-04-2020,10
27-04-2020,3
28-04-2020,6
29-04-2020,6
30-04-2020,5
01-05-2020,5
02-05-2020,7
03-05-2020,2
04-05-2020,2
05-05-2020,0
06-05-2020,3
07-05-2020,3
08-05-2020,3
09-05-2020,5
10-05-2020,4
11-05-2020,3
12-05-2020,3
13-05-2020,2
14-05-2020,2
15-05-2020,0
16-05-2020,0
17-05-2020,3
18-05-2020,1
19-05-2020,3
20-05-2020,1
21-05-2020,2
22-05-2020,0
23-05-2020,0
24-05-2020,1
25-05-2020,2
26-05-2020,1
27-05-2020,5
28-05-2020,0
29-05-2020,4
30-05-2020,0
31-05-2020,3
01-06-2020,1
02-06-2020,2
03-06-2020,1
04-06-2020,4
05-06-2020,0
06-06-2020,5
07-06-2020,5
08-06-2020,2
09-06-2020,3
10-06-2020,2
11-06-2020,6
12-06-2020,3
13-06-2020,2
14-06-2020,1
15-06-2020,7
16-06-2020,4
17-06-2020,3
18-06-2020,6
19-06-2020,6
20-06-2020,4
21-06-2020,9
22-06-2020,5
23-06-2020,4
24-06-2020,6
25-06-2020,5
26-06-2020,8
27-06-2020,1
28-06-2020,4
29-06-2020,7
30-06-2020,16
01-07-2020,10
02-07-2020,23
03-07-2020,13
04-07-2020,11
05-07-2020,16
06-07-2020,8
07-07-2020,21
08-07-2020,28
09-07-2020,34
10-07-2020,15
11-07-2020,20
12-07-2020,34
13-07-2020,51
14-07-2020,35
15-07-2020,47
16-07-2020,36
17-07-2020,27
18-07-2020,32
19-07-2020,76
20-07-2020,41
21-07-2020,40
22-07-2020,62
23-07-2020,65
24-07-2020,43
25-07-2020,29
26-07-2020,44
27-07-2020,54
28-07-2020,53
29-07-2020,59
30-07-2020,39
31-07-2020,31
01-08-2020,53
02-08-2020,56
03-08-2020,44
04-08-2020,62
05-08-2020,41
06-08-2020,47
07-08-2020,47
08-08-2020,50
09-08-2020,52
10-08-2020,51
11-08-2020,43
12-08-2020,48
13-08-2020,60
14-08-2020,43
15-08-2020,48
16-08-2020,51
17-08-2020,63
18-08-2020,63
19-08-2020,43
20-08-2020,60
21-08-2020,51
22-08-2020,39
23-08-2020,62
24-08-2020,71
25-08-2020,59
26-08-2020,53
27-08-2020,63
28-08-2020,56
29-08-2020,45
30-08-2020,65
31-08-2020,66
01-09-2020,50
02-09-2020,65
03-09-2020,44
04-09-2020,64
05-09-2020,65
06-09-2020,80
07-09-2020,64
08-09-2020,66
09-09-2020,89
10-09-2020,75
11-09-2020,58
12-09-2020,78
13-09-2020,79
14-09-2020,80
15-09-2020,78
16-09-2020,101
17-09-2020,113
18-09-2020,104
19-09-2020,81
20-09-2020,95
21-09-2020,123
22-09-2020,96
23-09-2020,130
24-09-2020,111
25-09-2020,137
26-09-2020,103
27-09-2020,129
28-09-2020,101
29-09-2020,143
30-09-2020,142
01-10-2020,140
02-10-2020,125
03-10-2020,101
04-10-2020,162
05-10-2020,117
06-10-2020,103
07-10-2020,111
08-10-2020,121
09-10-2020,86
10-10-2020,71
11-10-2020,123
12-10-2020,88
13-10-2020,81
14-10-2020,83
15-10-2020,77
16-10-2020,57
17-10-2020,48
18-10-2020,107
19-10-2020,76
20-10-2020,56
21-10-2020,60
22-10-2020,55
23-10-2020,39
24-10-2020,42
25-10-2020,46
26-10-2020,55
27-10-2020,45
28-10-2020,40
29-10-2020,29
30-10-2020,25
31-10-2020,28
01-11-2020,41
02-11-2020,46
03-11-2020,43
04-11-2020,22
05-11-2020,18
06-11-2020,26
07-11-2020,27
08-11-2020,36
09-11-2020,25
10-11-2020,23
11-11-2020,35
12-11-2020,31
13-11-2020,25
14-11-2020,23
15-11-2020,39
16-11-2020,38
17-11-2020,34
18-11-2020,30
19-11-2020,31
20-11-2020,21
21-11-2020,26
22-11-2020,35
23-11-2020,34
24-11-2020,24
25-11-2020,34
26-11-2020,30
27-11-2020,31
28-11-2020,14
29-11-2020,38
30-11-2020,33
01-12-2020,52
02-12-2020,50
03-12-2020,52
04-12-2020,45
05-12-2020,39
06-12-2020,43
07-12-2020,43
08-12-2020,32
09-12-2020,41
10-12-2020,42
11-12-2020,55
12-12-2020,46
13-12-2020,70
14-12-2020,57
15-12-2020,59
16-12-2020,64
17-12-2020,76
18-12-2020,68
19-12-2020,68
20-12-2020,69
21-12-2020,77
22-12-2020,89
23-12-2020,80
24-12-2020,87
25-12-2020,90
26-12-2020,87
27-12-2020,101
28-12-2020,99
29-12-2020,106
30-12-2020,111
31-12-2020,121
01-01-2021,119
02-01-2021,86
03-01-2021,134
04-01-2021,143
05-01-2021,158
06-01-2021,160
07-01-2021,147
08-01-2021,128
09-01-2021,146
10-01-2021,171
11-01-2021,176
12-01-2021,163
13-01-2021,180
14-01-2021,188
15-01-2021,166
16-01-2021,135
17-01-2021,185
18-01-2021,162
19-01-2021,187
20-01-2021,148
21-01-2021,165
22-01-2021,149
23-01-2021,146
24-01-2021,160
25-01-2021,184
26-01-2021,173
27-01-2021,137
28-01-2021,152
29-01-2021,116
30-01-2021,107
31-01-2021,144
01-02-2021,157
02-02-2021,148
03-02-2021,184
04-02-2021,149
05-02-2021,143
06-02-2021,112
07-02-2021,144
08-02-2021,152
09-02-2021,111
10-02-2021,139
11-02-2021,107
12-02-2021,89
13-02-2021,117
14-02-2021,146
15-02-2021,132
16-02-2021,92
17-02-2021,101
18-02-2021,81
19-02-2021,66
20-02-2021,70
21-02-2021,87
22-02-2021,109
23-02-2021,103
24-02-2021,100
25-02-2021,94
26-02-2021,82
27-02-2021,67
28-02-2021,89
01-03-2021,109
02-03-2021,90
03-03-2021,107
04-03-2021,89
05-03-2021,78
06-03-2021,99
07-03-2021,72
08-03-2021,91
09-03-2021,64
10-03-2021,78
11-03-2021,65
12-03-2021,67
13-03-2021,53
14-03-2021,81
15-03-2021,63
16-03-2021,63
17-03-2021,47
18-03-2021,64
19-03-2021,48
20-03-2021,39
21-03-2021,50
22-03-2021,33
23-03-2021,41
24-03-2021,43
25-03-2021,50
26-03-2021,30
27-03-2021,15
28-03-2021,27
29-03-2021,19
30-03-2021,21
31-03-2021,23
01-04-2021,19
02-04-2021,13
03-04-2021,17
04-04-2021,16
05-04-2021,15
06-04-2021,13
07-04-2021,17
08-04-2021,13
09-04-2021,21
10-04-2021,12
11-04-2021,16
12-04-2021,14
13-04-2021,15
14-04-2021,3
15-04-2021,4
16-04-2021,8
17-04-2021,7
18-04-2021,14
19-04-2021,12
20-04-2021,5
21-04-2021,8
22-04-2021,5
23-04-2021,8
24-04-2021,3
25-04-2021,5
26-04-2021,13
27-04-2021,4
28-04-2021,3
29-04-2021,4
30-04-2021,6
01-05-2021,5
02-05-2021,4
03-05-2021,5
04-05-2021,4
05-05-2021,3
06-05-2021,2
07-05-2021,2
08-05-2021,4
09-05-2021,1
10-05-2021,1
11-05-2021,3
12-05-2021,0
13-05-2021,1
14-05-2021,3
15-05-2021,2
16-05-2021,4
17-05-2021,1
18-05-2021,2
19-05-2021,2
20-05-2021,5
21-05-2021,0
22-05-2021,1
23-05-2021,2
24-05-2021,2
25-05-2021,0
26-05-2021,0
27-05-2021,2
28-05-2021,1
29-05-2021,0
30-05-2021,1
31-05-2021,1
01-06-2021,3
02-06-2021,1
03-06-2021,1
04-06-2021,1
05-06-2021,1
06-06-2021,3
07-06-2021,0
08-06-2021,1
09-06-2021,0
10-06-2021,1
11-06-2021,0
12-06-2021,0
13-06-2021,0
14-06-2021,1
15-06-2021,0
16-06-2021,0
17-06-2021,1
18-06-2021,0
19-06-2021,0
20-06-2021,2
21-06-2021,0